epoch,batch,d_loss,d_acc,g_loss,g_acc
8,40,0.01471035,1.0,6.111929,0.0
8,60,0.11482042,0.9589844,4.9304643,0.0078125
8,80,0.016121496,1.0,3.4568138,0.02734375
8,100,0.079511166,0.9707031,7.201606,0.03125
8,120,0.24034467,0.90234375,2.0054758,0.30859375
8,140,0.35835037,0.8535156,4.5157,0.0078125
8,160,0.06351561,0.9902344,3.559136,0.01953125
8,180,0.46700493,0.7753906,4.948785,0.01953125
8,200,0.4159699,0.8183594,2.2403622,0.2421875
8,220,0.25708723,0.875,3.5384104,0.0859375
9,20,0.16333263,0.9355469,5.4963894,0.0078125
9,40,0.05163936,0.984375,5.647499,0.015625
9,60,0.02707366,0.9902344,6.5953608,0.0078125
9,80,0.047066294,0.98828125,4.0021677,0.046875
9,100,0.07083791,0.9824219,4.713469,0.01171875
9,120,0.19475803,0.9199219,5.969963,0.0
9,140,0.19110695,0.93359375,3.5415583,0.05859375
9,160,0.10435669,0.9746094,6.1707726,0.0078125
9,180,0.047274068,0.99609375,4.868999,0.015625
9,200,0.01644442,1.0,5.6004043,0.0
9,220,0.01380852,1.0,7.8971186,0.0
10,20,0.017775172,0.9980469,5.323601,0.00390625
10,40,0.025346935,0.9980469,6.0640826,0.0
10,60,0.24638805,0.90234375,2.4008372,0.1640625
10,80,0.21719667,0.9140625,4.5818844,0.0234375
10,100,0.087191366,0.9765625,5.629141,0.0
10,120,0.05910244,0.9863281,3.1093514,0.0390625
10,140,0.09337749,0.9667969,3.982938,0.01171875
10,160,0.07711157,0.9765625,6.1544147,0.00390625
10,180,0.23268534,0.9042969,4.296455,0.01953125
10,200,0.08881247,0.9746094,4.479102,0.0078125
10,220,0.021601865,0.9941406,5.30972,0.01171875
11,20,0.85921466,0.56640625,1.9814646,0.25390625
11,40,0.044933792,0.98828125,5.6114635,0.0
11,60,0.04649823,0.984375,4.50278,0.00390625
11,80,0.12105358,0.9667969,3.6931295,0.04296875
11,100,0.014847327,0.9980469,8.016848,0.0
11,120,0.20772351,0.9121094,7.0283194,0.015625
11,140,0.0038346977,0.9980469,9.7583685,0.0
11,160,0.0028113862,1.0,8.489571,0.0
11,180,0.0033931548,1.0,8.330196,0.0
